id,name,address,num_use,day_use,num_use1,num_use2,num_use3,num_use4,num_use5,lon,lat,urls,num_fast,num_level2,充电桩数量,config_fast,config_level2,service_provider,acessibility,operator,status,others,payment_method,power_price,service_price,parking_price,gaode_lon,gaode_lat
356,龙岗区五联路充电站,深圳市龙岗区五联路22-1号,312,156,,1000,,,,114.2364583,22.75018157,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=39393,7,0,7,PRS-7576T-750/120-2/750/750/120.0,-1,,公共,云快充,已建成已测试,其他,支付宝、微信,,,以场站实际为准,114.241301,22.747357
15,共乐大厦站,广东省深圳市宝安区宝安大道与西乡大道交汇处（共乐大厦停车场）,305,152.5,,1000,,,,113.8654198,22.58189984,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=4542,16,0,16,-1,-1,其他,社会开放,普天,已建成未测试,地面,普天充电卡,,0.45元/度电,5元/小时,113.870331,22.57887
9,深圳博达大厦充电站,广东省深圳市南山区深云路6,290,145,,1000,,,,113.9834788,22.55406451,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=3786,2,8,10,M11011B/450/450/30.0,3907060140040035/220/220/7.0,特锐德,公共,特来电,已建成已测试,其他,充电吧APP,,"0:00~07:00:0.7000,07:00~09:00:0.7000,09:00~11:30:0.7000,11:30~14:00:0.7000,14:00~16:30:0.7000,16:30~19:00:0.7000,19:00~21:00:0.7000,21:00~23:00:0.7000,23:00~24:00:0.7000元/度电",,113.988445,22.551163
333,盐田小梅沙大酒店停车场,广东省深圳市盐田区梅沙街道盐葵路小梅沙大酒店,290,145,,1000,,,,114.3246842,22.60555039,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=38160,0,6,6,-1,-1,南方和顺,社会开放,南方电网,已建成已测试,地面,顺易充App,,,,114.32957,22.602789
107,宝安人民医院,深圳市宝安区宝城16区龙井二路118号,284,142,,1000,,,,113.9096757,22.56502825,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=12032,0,3,3,-1,7kW,其他,社会开放,普天,已建成未测试,其他,普天充电卡,不详,不详,5元/小时,113.914537,22.56198
173,深圳喜悦里华庭充电站,广东省深圳市龙岗区建新路满京华喜悦里华庭,281,140.5,,1000,,,,114.2639841,22.72358195,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=18528,0,43,43,-1,未配置/220/220/7.0,特锐德,公共,特来电,已建成已测试,其他,充电吧APP,电费:00:00~24:00:0.7170,服务费:00:00~24:00:0.7000元/度电,,114.268814,22.720755
251,白芒充电站大巴桩,深圳市西丽街道松白路1045号,281,140.5,,1000,,,,113.9309628,22.63258288,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=25411,15,0,15,未配置/640/640/160.0,-1,深圳致联,公共,深圳致联,已建成已测试,其他,,,,不详,113.935837,22.629566
350,深圳龙岗美泰物流园充电站,深圳市龙岗区上李朗社区美泰物流园D栋1楼北侧停车坪,281,140.5,,1000,,,,114.1296744,22.649545,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=38830,4,0,4,DH-DC1200SG30-1/1000/1000/120.0,-1,星星充电,公共,星星充电,已建成已测试,其他,,,,不详,114.13475,22.646851
410,松岗江边泥头车专用充电站,广东省深圳市宝安区松岗创业二路与高速轿辅道交叉口东北150米,273,136.5,,1000,,,,113.8052242,22.77152566,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=44274,12,0,12,DH-DC2400SG38/1000/1000/240.0,-1,星星充电,公共,星星充电,已建成已测试,其他,,,,不收费,113.810299,22.768642
17,新安公园站,广东省深圳市宝安区新安公园公交站台旁,269,134.5,,1000,,,,113.9069432,22.56648549,http://admin.bjev520.com/jsp/beiqi/pcmap/do/pcmap_Detail.jsp?charingId=4545,32,0,32,-1,-1,其他,社会开放,普天,已建成未测试,地面,普天充电卡,,元/度电,免费,113.911805,22.563436
